Id,Label,timeset,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
시행,시행,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
시세표,시세표,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
유통,유통,,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
설립,설립,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부,부,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
비중,비중,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
준비,준비,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
주식,주식,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인터넷전문은행,인터넷전문은행,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
리브,리브,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
머니,머니,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
육성,육성,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
담보,담보,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
실물,실물,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
소액,소액,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인민은행,인민은행,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인기,인기,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
지점,지점,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
침,침,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상승,상승,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부동산,부동산,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
환전,환전,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
연구원,연구원,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
위원,위원,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
회원,회원,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
여신,여신,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
자료,자료,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신한은행,신한은행,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기축,기축,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
제로페이,제로페이,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
연합회,연합회,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
리스크,리스크,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
간담회,간담회,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상장,상장,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토큰,토큰,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
내년,내년,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
무료,무료,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
트,트,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
페이먼,페이먼,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
지정,지정,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
비자,비자,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금지,금지,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인력,인력,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
암호,암호,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
통신,통신,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
건수,건수,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전자지급결제,전자지급결제,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대행업,대행업,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중소,중소,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
체결,체결,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
협약,협약,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
하락,하락,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
판매,판매,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
소득,소득,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공제,공제,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가입,가입,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
차지,차지,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토리,토리,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
주도,주도,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고유,고유,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
황,황,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
최종구,최종구,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
길,길,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
재정,재정,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
등급,등급,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
상거래,상거래,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
진입,진입,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오늘,오늘,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2P,P2P,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
헉,헉,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
시장법,시장법,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경영,경영,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
생체,생체,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
위안화,위안화,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
역량,역량,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
홈페이지,홈페이지,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
물가,물가,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
잼,잼,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
클릭,클릭,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
맹점,맹점,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
혁명,혁명,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
배달,배달,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이야기,이야기,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
편의점,편의점,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스타,스타,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
은산,은산,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
